title,content_type,primary_genre,genre_detail,country_origin,language,report_period,premiere_date,hours_viewed_millions,views_millions,source
KPop Demon Hunters,Movie,Animation,Musical fantasy action,United States,English,All-Time,2025-06-20,541.8,325.1,Wikipedia: Most-watched Netflix programming
Red Notice,Movie,Action,Action comedy,United States,English,All-Time,2021-11-12,454.2,230.9,Wikipedia: Most-watched Netflix programming
Carry-On,Movie,Thriller,Action thriller,United States,English,All-Time,2024-12-13,344.1,172.1,Wikipedia: Most-watched Netflix programming
Don't Look Up,Movie,Science Fiction,Satirical science fiction,United States,English,All-Time,2021-12-24,408.6,171.4,Wikipedia: Most-watched Netflix programming
The Adam Project,Movie,Science Fiction,Science fiction adventure,United States,English,All-Time,2022-03-11,281.0,157.6,Wikipedia: Most-watched Netflix programming
Bird Box,Movie,Horror,Horror thriller,United States,English,All-Time,2018-12-21,325.3,157.4,Wikipedia: Most-watched Netflix programming
Back in Action,Movie,Action,Action comedy,United States,English,All-Time,2025-01-17,279.7,147.2,Wikipedia: Most-watched Netflix programming
Leave the World Behind,Movie,Thriller,Apocalyptic thriller,United States,English,All-Time,2023-12-08,339.3,143.4,Wikipedia: Most-watched Netflix programming
The Gray Man,Movie,Action,Action thriller,United States,English,All-Time,2022-07-22,299.5,139.3,Wikipedia: Most-watched Netflix programming
Damsel,Movie,Fantasy,Fantasy action adventure,United States,English,All-Time,2024-03-08,253.0,138.0,Wikipedia: Most-watched Netflix programming
Squid Game (Season 1),TV Show,Thriller,Survival drama,South Korea,Korean,All-Time,,2205.2,265.2,Wikipedia: Most-watched Netflix programming
Wednesday (Season 1),TV Show,Comedy,Supernatural mystery comedy,United States,English,All-Time,,1718.8,252.1,Wikipedia: Most-watched Netflix programming
Squid Game (Season 2),TV Show,Thriller,Survival drama,South Korea,Korean,All-Time,2024-12-26,1380.1,192.6,Wikipedia: Most-watched Netflix programming
Squid Game (Season 3),TV Show,Thriller,Survival drama,South Korea,Korean,All-Time,2025-06-27,894.3,145.8,Wikipedia: Most-watched Netflix programming
Adolescence,TV Show,Drama,Coming-of-age drama (limited series),United Kingdom,English,All-Time,,546.5,142.6,Wikipedia: Most-watched Netflix programming
Stranger Things (Season 4),TV Show,Science Fiction,Sci-fi horror,United States,English,All-Time,,1838.0,140.7,Wikipedia: Most-watched Netflix programming
Stranger Things (Season 5),TV Show,Science Fiction,Sci-fi horror,United States,English,All-Time,2025-11-26,1391.3,133.8,Wikipedia: Most-watched Netflix programming
Wednesday (Season 2),TV Show,Comedy,Supernatural mystery comedy,United States,English,All-Time,,928.5,119.3,Wikipedia: Most-watched Netflix programming
Monster (Season 1),TV Show,Crime,True crime drama,United States,English,All-Time,,1031.1,115.6,Wikipedia: Most-watched Netflix programming
Bridgerton (Season 1),TV Show,Romance,Period romance drama,United States,English,All-Time,,929.3,113.3,Wikipedia: Most-watched Netflix programming
The Mother,Movie,Action,Action thriller,United States,English,2023-H1,,249.9,,Netflix Engagement Report H1 2023
Luther: The Fallen Sun,Movie,Crime,Crime thriller,United Kingdom,English,2023-H1,,209.7,,Netflix Engagement Report H1 2023
Extraction 2,Movie,Action,Action thriller,United States,English,2023-H1,,201.8,,Netflix Engagement Report H1 2023
You People,Movie,Comedy,Romantic comedy,United States,English,2023-H1,,181.8,,Netflix Engagement Report H1 2023
Murder Mystery 2,Movie,Comedy,Comedy mystery,United States,English,2023-H1,,173.6,,Netflix Engagement Report H1 2023
Leave the World Behind,Movie,Thriller,Apocalyptic thriller,United States,English,2023-H2,2023-12-08,,121.0,Netflix Engagement Report H2 2023
Heart of Stone,Movie,Action,Action thriller,United States,English,2023-H2,,,109.6,Netflix Engagement Report H2 2023
Leo,Movie,Animation,Animated comedy,United States,English,2023-H2,,,96.0,Netflix Engagement Report H2 2023
Nowhere,Movie,Thriller,Survival thriller,Spain,Spanish,2023-H2,,,86.2,Netflix Engagement Report H2 2023
The Out-Laws,Movie,Comedy,Action comedy,United States,English,2023-H2,,,83.8,Netflix Engagement Report H2 2023
Best. Christmas. Ever!,Movie,Comedy,Holiday comedy,United States,English,2023-H2,,,45.7,Netflix Engagement Report H2 2023
Dr. Seuss' The Grinch,Movie,Animation,Animated family,United States,English,2023-H2,,,45.3,Netflix Engagement Report H2 2023
The Super Mario Bros. Movie,Movie,Animation,Animated adventure (licensed),United States,English,2023-H2,,,44.9,Netflix Engagement Report H2 2023
One Piece (Season 1),TV Show,Adventure,Action adventure,United States,English,2023-H2,,,71.6,Netflix Engagement Report H2 2023
Dear Child,TV Show,Thriller,Psychological thriller,Germany,German,2023-H2,,,52.5,Netflix Engagement Report H2 2023
Forgotten Love,Movie,Romance,Romantic drama,Poland,Polish,2023-H2,,,43.0,Netflix Engagement Report H2 2023
Pact of Silence,TV Show,Crime,Crime drama,Mexico,Spanish,2023-H2,,,21.0,Netflix Engagement Report H2 2023
Mask Girl,TV Show,Thriller,Thriller drama,South Korea,Korean,2023-H2,,,19.0,Netflix Engagement Report H2 2023
Yu Yu Hakusho,TV Show,Animation,Anime action fantasy,Japan,Japanese,2023-H2,,,17.0,Netflix Engagement Report H2 2023
Berlin,TV Show,Crime,Heist crime drama,Spain,Spanish,2023-H2,,,11.0,Netflix Engagement Report H2 2023
The Railway Men,TV Show,Drama,Historical drama,India,Hindi,2023-H2,,,11.0,Netflix Engagement Report H2 2023
Suits,TV Show,Drama,"Legal drama (licensed, 9 seasons)",United States,English,2023-H2,,,144.0,Netflix Engagement Report H2 2023
Young Sheldon,TV Show,Comedy,Sitcom (licensed),United States,English,2023-H2,,,88.0,Netflix Engagement Report H2 2023
Grey's Anatomy,TV Show,Drama,Medical drama (licensed),United States,English,2023-H2,,,51.0,Netflix Engagement Report H2 2023
Gossip Girl,TV Show,Drama,Teen drama (licensed),United States,English,2023-H2,,,49.0,Netflix Engagement Report H2 2023
Gilmore Girls,TV Show,Comedy,Comedy drama (licensed),United States,English,2023-H2,,,45.0,Netflix Engagement Report H2 2023
Gabby's Dollhouse,TV Show,Family,Kids animation,United States,English,2023-H2,,,90.0,Netflix Engagement Report H2 2023
Family Switch,Movie,Comedy,Family comedy,United States,English,2023-H2,,,62.0,Netflix Engagement Report H2 2023
The Monkey King,Movie,Animation,Animated fantasy,United States,English,2023-H2,,,43.0,Netflix Engagement Report H2 2023
Is It Cake?,TV Show,Reality,Reality competition,United States,English,2023-H2,,,21.0,Netflix Engagement Report H2 2023
Love Is Blind,TV Show,Reality,Reality dating,United States,English,2023-H2,,,20.0,Netflix Engagement Report H2 2023
The Ultimatum: Marry or Move On,TV Show,Reality,Reality dating,United States,English,2023-H2,,,12.0,Netflix Engagement Report H2 2023
World War II: From the Frontlines,TV Show,Documentary,War documentary,United States,English,2023-H2,,,13.0,Netflix Engagement Report H2 2023
Lupin (Parts 1-3),TV Show,Crime,Heist crime drama,France,French,2023-H2,,,100.0,Netflix Engagement Report H2 2023
CoComelon (All Seasons),TV Show,Family,Kids animation,United States,English,2023-H2,,,200.0,Netflix Engagement Report H2 2023
The Witcher (All Seasons),TV Show,Fantasy,Fantasy drama,United States,English,2023-H2,,,76.0,Netflix Engagement Report H2 2023
Virgin River (All Seasons),TV Show,Romance,Romance drama,United States,English,2023-H2,,,69.0,Netflix Engagement Report H2 2023
The Crown (All Seasons),TV Show,Drama,Historical drama,United Kingdom,English,2023-H2,,,50.0,Netflix Engagement Report H2 2023
Sweet Magnolias,TV Show,Drama,Drama,United States,English,2023-H2,,,35.0,Netflix Engagement Report H2 2023
Top Boy,TV Show,Crime,Crime drama,United Kingdom,English,2023-H2,,,26.0,Netflix Engagement Report H2 2023
Heartstopper,TV Show,Romance,Teen romance,United Kingdom,English,2023-H2,,,24.0,Netflix Engagement Report H2 2023
Sintonia,TV Show,Drama,Drama,Brazil,Portuguese,2023-H2,,,20.0,Netflix Engagement Report H2 2023
Sweet Home,TV Show,Horror,Horror thriller,South Korea,Korean,2023-H2,,,17.0,Netflix Engagement Report H2 2023
